No,name,desc,img,price
22,Kia Sorento,"2017г.,3.3л.,автоматвнедорожник5дв.,бензинрульслева,104607км",https://im.mashina.kg/tachka/images//8/2/0/82006068bad0bd1885e7fae676e83ff9_240x180.jpg,$ 15 000
23,LiXiang L9,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,5800км",https://im.mashina.kg/tachka/images//c/e/9/ce90c6c12dfeacad95ea5f4fec3ac1d3_240x180.jpg,$ 61 000
24,Kia Mohave (Borrego),"2020г.,3л.,автоматвнедорожник5дв.,дизельрульслева,60000км",https://im.mashina.kg/tachka/images//f/5/e/f5e6e808a45d08be0004acd979efd5a6_240x180.jpg,$ 38 000
25,BMW 5 серии,"2018г.,2л.,автоматседан,дизельрульслева,127680км",https://im.mashina.kg/tachka/images//6/0/3/603376424e82a3c85a763c4d5616c8b1_240x180.jpg,$ 28 500
26,Land Rover Range Rover Sport,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,90000км",https://im.mashina.kg/tachka/images//0/8/0/0806b3cb55777601da98b6ea90172188_240x180.jpg,$ 65 000
27,Chevrolet Malibu,"2018г.,1.5л.,автоматседан,бензинрульслева,107600км",https://im.mashina.kg/tachka/images//2/9/c/29c7c29d05fc1399b391db39b15f6da2_240x180.jpg,$ 10 500
28,BMW X7,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,75000км",https://im.mashina.kg/tachka/images//6/f/f/6ff25079c533f3dbc0373b9bb3108be8_240x180.jpg,$ 70 000
29,Chevrolet Malibu,"2017г.,1.5л.,автоматседан,бензинрульслева,194000км",https://im.mashina.kg/tachka/images//0/c/c/0cccc82790b4f6dbdd141866a2368958_240x180.jpg,$ 10 500
30,Cadillac Escalade,"2021г.,6.2л.,автоматвнедорожник5дв.,бензинрульслева,35000км",https://im.mashina.kg/tachka/images//4/a/9/4a9acc8eea9ea6d03448506f3442589d_240x180.jpg,$ 115 000
31,Mercedes-Benz E-Класс AMG,"2017г.,3л.,автоматседан,бензинрульслева,75000км",https://im.mashina.kg/tachka/images//2/9/7/297b7c49aeabacf9f210965cad1ea695_240x180.jpg,$ 57 000
32,Lexus GX,"2017г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева",https://im.mashina.kg/tachka/images//3/d/c/3dc9c6dd2453b80cc40c698e516a81a9_240x180.jpg,$ 42 500
33,Zeekr 007,"2024г.,автоматседан,электрорульслева,30км",https://im.mashina.kg/tachka/images//b/b/1/bb10046278ced7db38622d037e553d24_240x180.jpg,$ 51 900
34,BMW X6,"2021г.,3л.,автоматвнедорожник5дв.,бензинрульслева,71000км",https://im.mashina.kg/tachka/images//2/d/1/2d1eacdb3b86575c83fc9d9b9444d285_240x180.jpg,$ 85 000
35,BMW X7,"2019г.,3л.,автоматвнедорожник5дв.,дизельрульслева,54000км",https://im.mashina.kg/tachka/images//f/b/2/fb218463bfa9ed910a56505e771c8bb5_240x180.jpg,$ 95 000
36,BMW X5,"2021г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,21000км",https://im.mashina.kg/tachka/images//e/6/b/e6b04c851df02d9c6c7d27abc9c28ff9_240x180.jpg,$ 99 000
37,BMW iX,"2021г.,автоматвнедорожник5дв.,электрорульслева,7000км",https://im.mashina.kg/tachka/images//4/f/7/4f70d1ffd372bcfcec8974e5e1ccbd32_240x180.jpg,$ 85 000
38,BMW X7,"2021г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,34000км",https://im.mashina.kg/tachka/images//a/7/c/a7c003282161f8b379b66733842dd420_240x180.jpg,$ 119 000
39,BMW X5,"2021г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,31000км",https://im.mashina.kg/tachka/images//6/7/f/67fb34379f3d1f0a66b1e294ec1de842_240x180.jpg,$ 98 000
40,Hyundai Genesis,"2014г.,3.8л.,автоматседан,бензинрульслева,100000км",https://im.mashina.kg/tachka/images//8/f/4/8f4137e8a140658bcd86a7a2cd0b123a_240x180.jpg,$ 21 000
41,Lexus RX,"2022г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,8300км",https://im.mashina.kg/tachka/images//1/2/b/12b84e15de029e9cb92481dc1f9b9945_240x180.jpg,$ 54 000
42,Land Rover Range Rover Sport,"2018г.,3л.,автоматвнедорожник5дв.,дизельрульслева,67000км",https://im.mashina.kg/tachka/images//e/3/e/e3ee117fdae6327405f95f4ebbdcbac5_240x180.jpg,$ 58 600
43,BMW 3 серии,"2018г.,2л.,автоматседан,дизельрульслева,106000км",https://im.mashina.kg/tachka/images//7/f/b/7fb5687c26ea725da0dcb8998e0187dc_240x180.jpg,$ 22 800
44,Toyota Tacoma,"2022г.,2.7л.,автоматпикапполуторнаякабина,бензинрульслева,35083км",https://im.mashina.kg/tachka/images//6/a/2/6a21cf113e13c513cd35d9804a009b6c_240x180.jpg,$ 31 000
45,Lexus ES,"2017г.,2.5л.,автоматседан,бензинрульслева,102000км",https://im.mashina.kg/tachka/images//a/c/c/acca4b1da9261de939e5c120cab9a4b8_240x180.jpg,$ 24 500
46,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,127138км",https://im.mashina.kg/tachka/images//5/3/5/535e8777d1285bf4d65ab5169d3347ef_240x180.jpg,$ 44 000
47,Land Rover Range Rover,"2013г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,150000км",https://im.mashina.kg/tachka/images//0/a/b/0abebc8e47c5b72063023a8dc9763783_240x180.jpg,$ 44 000
48,Toyota Prius,"2015г.,1.8л.,автоматхэтчбек5дв.,гибридрульслева,136000км",https://im.mashina.kg/tachka/images//1/2/6/126e0c277d6d98d1a5987ed720e757b1_240x180.jpg,$ 12 000
49,Lexus ES,"2017г.,3.5л.,автоматседан,бензинрульслева,90000км",https://im.mashina.kg/tachka/images//1/f/b/1fb41dfdd15d28317bfbdbfaa4092524_240x180.jpg,$ 27 000
50,Voyah Free,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,50км",https://im.mashina.kg/tachka/images//f/d/0/fd05e6106122eb68f2a769968839ef71_240x180.jpg,$ 40 000
51,BMW X5,"2017г.,3л.,автоматвнедорожник5дв.,бензинрульслева,84600км",https://im.mashina.kg/tachka/images//1/e/a/1ea4db8054e7352336a8e01c25e52ad1_240x180.jpg,$ 35 500
52,Lexus LX,"2011г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,135000км",https://im.mashina.kg/tachka/images//7/a/7/7a703fd0b29230461771ca9730982e20_240x180.jpg,$ 38 500
53,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,119000км",https://im.mashina.kg/tachka/images//a/b/e/abe6c76b5cb4785302da0daa85f76356_240x180.jpg,$ 17 900
54,Hyundai Palisade,"2021г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,100957км",https://im.mashina.kg/tachka/images//7/9/b/79b638e7471d716d133ed37283f70db3_240x180.jpg,$ 39 900
55,BMW 5 серии,"2017г.,2л.,автоматседан,дизельрульслева,125000км",https://im.mashina.kg/tachka/images//3/f/1/3f1b10a98221239ada4cbd107f50a552_240x180.jpg,$ 28 000
56,Hyundai Custo,"2023г.,2л.,автоматминивэн,бензинрульслева,30км",https://im.mashina.kg/tachka/images//7/c/2/7c218a0b9c6a03433f831563abf6c589_240x180.jpg,$ 37 000
57,Toyota Camry,"2017г.,2.5л.,автоматседан,бензинрульслева,71000км",https://im.mashina.kg/tachka/images//b/5/e/b5e9662f25266a01f41add96c99c0341_240x180.jpg,$ 24 500
58,BMW X5,"2005г.,4.8л.,автоматвнедорожник5дв.,бензинрульслева,280000км",https://im.mashina.kg/tachka/images//1/a/3/1a3bcc1066042f54c57d934701360627_240x180.jpg,$ 13 900
59,Genesis G70,"2018г.,2.2л.,автоматседан,дизельрульслева,38000км",https://im.mashina.kg/tachka/images//5/c/5/5c5fa75ed65d087534d8c540bea53021_240x180.jpg,$ 24 500
60,Kia K5 II Седан,"2016г.,2л.,автоматседан,газрульслева,217000км",https://im.mashina.kg/tachka/images//1/2/e/12e658bc0b67ed73951891a2b75a36b4_240x180.jpg,$ 14 500
61,Toyota 4Runner,"2006г.,4.7л.,автоматвнедорожник5дв.,бензинрульслева,224817км",https://im.mashina.kg/tachka/images//c/2/a/c2a4042d767b26d2e061aeca45c7394c_240x180.jpg,$ 20 500
62,Mercedes-Benz G-Класс,"2014г.,3л.,автоматвнедорожник5дв.,дизельрульслева,155000км",https://im.mashina.kg/tachka/images//1/1/0/110da97a3d59febd1c012bac56b9b26f_240x180.jpg,$ 65 000
63,Skoda Octavia,"2023г.,1.4л.,роботлифтбек,бензинрульслева,30км",https://im.mashina.kg/tachka/images//1/8/9/189718c59e683a6f31ba8a8b17a629ee_240x180.jpg,$ 25 700
64,Kia Sportage (China),"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,10км",https://im.mashina.kg/tachka/images//4/9/a/49aba0540df46add42dc29c22e67d3fb_240x180.jpg,$ 34 000
65,LiXiang L7,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева,20км",https://im.mashina.kg/tachka/images//c/a/5/ca51b7cf42c291f8e329abcd343044a8_240x180.jpg,$ 57 500
66,Mercedes-Benz E-Класс AMG,"2018г.,3л.,автоматседан,бензинрульслева,80000км",https://im.mashina.kg/tachka/images//4/9/f/49f457dbf7410333d354ff2a64e987ea_240x180.jpg,$ 61 000
67,MINI Hatch,"2016г.,2л.,механикахэтчбек5дв.,бензинрульслева,123000км",https://im.mashina.kg/tachka/images//f/9/2/f92daa72a3aac3846899efd80f77f805_240x180.jpg,$ 19 500
68,Toyota Tundra,"2014г.,5.7л.,автоматпикапдвойнаякабина,бензинрульслева,34500км",https://im.mashina.kg/tachka/images//6/f/1/6f17bbcce5adee5abc00b469b4471095_240x180.jpg,$ 100 000
69,Mercedes-Benz S-Класс,"2003г.,5л.,автоматседан,бензинрульслева,255000км",https://im.mashina.kg/tachka/images//b/f/d/bfdcef4f24034f256d412f1d91279aed_240x180.jpg,$ 11 200
70,Lexus RX,"2006г.,3.3л.,вариаторвнедорожник5дв.,гибридрульслева,230000км",https://im.mashina.kg/tachka/images//7/b/7/7b7f12fc8fd8a04866d85d915a33baf9_240x180.jpg,$ 14 900
71,Kia K7,"2020г.,3л.,автоматседан,газрульслева,250000км",https://im.mashina.kg/tachka/images//2/3/1/23194c50bc49fac324bfcd567c1d6f08_240x180.jpg,$ 22 000
72,BMW X5,"2016г.,3л.,автоматвнедорожник5дв.,дизельрульслева,147000км",https://im.mashina.kg/tachka/images//a/9/2/a923e671dbb6d396dc78804999db8c45_240x180.jpg,$ 34 000
73,BMW X6,"2016г.,3л.,автоматвнедорожник5дв.,бензинрульслева,90000км",https://im.mashina.kg/tachka/images//3/5/5/35592a3151950186a5516ddab388c56d_240x180.jpg,$ 35 500
74,Dodge Challenger,"2013г.,3.6л.,автоматкупе,бензинрульслева,172000км",https://im.mashina.kg/tachka/images//4/a/1/4a139d3e60729c0db74a9e2870bd3d6e_240x180.jpg,$ 23 000
75,BMW X5,"2022г.,3л.,автоматвнедорожник5дв.,гибридрульслева,14000км",https://im.mashina.kg/tachka/images//4/0/9/409760fad9b0d1c6bce69ee8a448090a_240x180.jpg,$ 90 000
76,Mercedes-Benz GLE,"2023г.,3л.,автоматвнедорожник5дв.,дизельрульслева,15км",https://im.mashina.kg/tachka/images//3/0/3/303e0266cba76bc2b4d5e733a073270b_240x180.jpg,$ 131 500
77,Mercedes-Benz S-Класс,"2012г.,4.7л.,автоматседан,бензинрульслева,197000км",https://im.mashina.kg/tachka/images//a/b/b/abb3098b9aa482ce84430e50e9691432_240x180.jpg,$ 26 000
78,Kia K7,"2017г.,2.4л.,автоматседан,бензинрульслева,139000км",https://im.mashina.kg/tachka/images//1/7/d/17dcca7ef394f8edc93236b8c938861e_240x180.jpg,$ 18 000
79,Zeekr 007,"2024г.,автоматседан,электрорульслева,45км",https://im.mashina.kg/tachka/images//f/f/3/ff3398a4c7556ff59be6f8728ced2c86_240x180.jpg,$ 54 000
80,Lexus NX,"2015г.,2л.,автоматвнедорожник5дв.,бензинрульслева,64900км",https://im.mashina.kg/tachka/images//3/f/5/3f5e01dacbde85516316478dc326fa31_240x180.jpg,$ 32 000
81,Hyundai Santa Fe,"2019г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,112000км",https://im.mashina.kg/tachka/images//7/2/0/720340923dd4bf28e6396407d02e7e58_240x180.jpg,$ 26 300
82,Toyota Camry,"2004г.,2.4л.,автоматседан,бензинрульслева,227000км",https://im.mashina.kg/tachka/images//0/c/1/0c125d2dff45acc20a643647a2331ed1_240x180.jpg,$ 8 800
83,Hyundai Elantra,"2023г.,1.5л.,вариаторседан,бензинрульслева,10км",https://im.mashina.kg/tachka/images//c/a/6/ca61d9586905e3dc822c73076c246e50_240x180.jpg,$ 18 300
84,Kia Sorento,"2018г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,137000км",https://im.mashina.kg/tachka/images//e/7/b/e7b7037a9af836bfa8ffe3cd066b1e12_240x180.jpg,$ 22 900
85,Toyota Prius,"2015г.,1.8л.,автоматхэтчбек5дв.,гибридрульслева,131000км",https://im.mashina.kg/tachka/images//9/7/2/9723a2c8947fc706fda5330ab334dd2b_240x180.jpg,$ 12 200
86,Mazda 626,"1997г.,1.8л.,механикахэтчбек5дв.,бензинрульслева,111500км",https://im.mashina.kg/tachka/images//b/1/d/b1d8a30100a764014a4059cb70583991_240x180.jpg,$ 6 200
87,Toyota Highlander,"2016г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,98056км",https://im.mashina.kg/tachka/images//4/e/8/4e86957bf4bbc01d7f42de79036a356a_240x180.jpg,$ 29 800
88,Toyota Alphard,"2006г.,3л.,автоматминивэн,бензинрульслева,50000км",https://im.mashina.kg/tachka/images//e/f/4/ef4d62a76078b08eacb21fe3a5fcc011_240x180.jpg,$ 17 000
89,Kia Carnival,"2018г.,2.2л.,автоматминивэн,дизельрульслева,140000км",https://im.mashina.kg/tachka/images//1/8/7/1871453ed5bf7ab6988569303fd2d867_240x180.jpg,$ 19 500
90,Kia K5 III Седан,"2021г.,1.6л.,автоматседан,бензинрульслева,74500км",https://im.mashina.kg/tachka/images//3/9/b/39bf0b862b6c39c236e39f161670cbc2_240x180.jpg,$ 27 000
91,BMW 3 серии,"2016г.,2л.,автоматседан,бензинрульслева,170000км",https://im.mashina.kg/tachka/images//7/9/6/796f6d860de2ca0a5f2ac7f808e01d8f_240x180.jpg,$ 21 700
92,Kia K5 II Седан,"2016г.,2л.,автоматседан,газрульслева,221000км",https://im.mashina.kg/tachka/images//7/0/1/7013533dba80e6a43f1eb8514b72d6b9_240x180.jpg,$ 12 000
93,BMW X1,"2017г.,2л.,автоматвнедорожник5дв.,дизельрульслева,101000км",https://im.mashina.kg/tachka/images//2/2/4/2248503941c2055174055c4213854589_240x180.jpg,$ 22 800
94,Mercedes-Benz E-Класс,"2006г.,3.5л.,автоматседан,бензинрульслева,204000км",https://im.mashina.kg/tachka/images//c/d/3/cd311aa778d8b819bcc1d97e22648187_240x180.jpg,$ 15 500
95,Hyundai Tucson,"2016г.,2л.,автоматвнедорожник5дв.,дизельрульслева,134500км",https://im.mashina.kg/tachka/images//d/6/7/d67a54a8aea2680ee3ecbe5139d3e901_240x180.jpg,$ 17 000
96,Toyota Land Cruiser,"2019г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева,52000км",https://im.mashina.kg/tachka/images//e/7/7/e777c2ddca200efb33038793d7fb5627_240x180.jpg,$ 86 000
97,Toyota Sequoia,"2008г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,256254км",https://im.mashina.kg/tachka/images//1/1/8/118677d829395f82322b6fd3bb1b5d81_240x180.jpg,$ 33 500
98,Toyota Land Cruiser,"2018г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева,90000км",https://im.mashina.kg/tachka/images//d/a/3/da3ec3f7da4af1385b39603b90f49942_240x180.jpg,$ 76 000
99,BMW 5 серии,"2017г.,3л.,автоматседан,бензинрульслева,98000км",https://im.mashina.kg/tachka/images//5/b/0/5b0f4d1c1ff1941651bac733694d6301_240x180.jpg,$ 35 900
100,Toyota Land Cruiser,"2011г.,4.5л.,автоматвнедорожник5дв.,дизельрульслева,160000км",https://im.mashina.kg/tachka/images//7/2/f/72f5f626dde1b91dc655f91e0c465033_240x180.jpg,$ 32 500
101,BMW X5 M,"2015г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,132000км",https://im.mashina.kg/tachka/images//f/8/5/f85a76bd95511fc1e7975c5075b84c6d_240x180.jpg,$ 40 500
102,BMW 5 серии,"2017г.,2л.,автоматседан,бензинрульслева,105000км",https://im.mashina.kg/tachka/images//6/0/b/60bb89e888f2d42eece849998aae9ea4_240x180.jpg,$ 27 000
103,Mercedes-Benz S-Класс,"2011г.,4.7л.,автоматседан,бензинрульслева,132000км",https://im.mashina.kg/tachka/images//e/7/5/e75c2a750007dc0efe162be6b42e8074_240x180.jpg,$ 15 000
104,Volkswagen ID.6,"2022г.,автоматвнедорожник5дв.,электрорульслева,17800км",https://im.mashina.kg/tachka/images//5/d/4/5d42732cabed22959ced90f5dc2ff8e2_240x180.jpg,$ 29 500
105,Toyota Land Cruiser,"2023г.,3.4л.,автоматвнедорожник5дв.,бензинрульслева,80км",https://im.mashina.kg/tachka/images//8/0/5/805bd5f9e29813dbadcfc3b6f4fcf7f6_240x180.jpg,$ 123 000
106,BMW X5,"2017г.,3л.,автоматвнедорожник5дв.,бензинрульслева,160000км",https://im.mashina.kg/tachka/images//f/6/f/f6f19cc0dee22458463fd5b2fb772887_240x180.jpg,$ 29 900
107,BMW 5 серии,"2017г.,2л.,автоматседан,бензинрульслева,105000км",https://im.mashina.kg/tachka/images//e/a/4/ea48dde9d1b5a31cc860ad037a66ab68_240x180.jpg,$ 24 000
108,BMW X5,"2015г.,3л.,автоматвнедорожник5дв.,бензинрульслева,193000км",https://im.mashina.kg/tachka/images//9/2/c/92cbc88add7e94688815f56d4609a8d3_240x180.jpg,$ 35 000
109,BMW X7,"2020г.,4.4л.,автоматвнедорожник5дв.,бензинрульслева,122000км",https://im.mashina.kg/tachka/images//4/c/4/4c42f4410dbf3999c62fff6d4d1e2dca_240x180.jpg,$ 100 000
110,Toyota Camry,"2012г.,2.5л.,автоматседан,бензинрульслева,200000км",https://im.mashina.kg/tachka/images//f/2/e/f2e6643e10cf80a380f7654699ad50d1_240x180.jpg,$ 16 700
111,Toyota Camry,"2018г.,2.5л.,вариаторседан,гибридрульслева,74000км",https://im.mashina.kg/tachka/images//4/e/a/4eaa17378080490480164b992ae7e22e_240x180.jpg,$ 23 600
112,Toyota Land Cruiser Prado,"2006г.,4л.,автоматвнедорожник5дв.,бензинрульслева,141300км",https://im.mashina.kg/tachka/images//6/5/b/65b7f3430cb2c59d5fe9e0772a0b4dd6_240x180.jpg,$ 18 500
113,Kia Optima,"2019г.,2.4л.,автоматседан,бензинрульслева,130000км",https://im.mashina.kg/tachka/images//1/2/6/1261d29d85aeb29c884c34706ca7692b_240x180.jpg,$ 14 900
114,BYD Song Plus,"2023г.,автоматвнедорожник5дв.,электрорульслева,40км",https://im.mashina.kg/tachka/images//d/2/f/d2fac9caf1c262b0347b8abc996ba753_240x180.jpg,$ 30 800
115,Lexus GX,"2021г.,4.6л.,автоматвнедорожник5дв.,бензинрульслева,61500км",https://im.mashina.kg/tachka/images//a/a/d/aada503be4141f8849b0e82d779baa8b_240x180.jpg,$ 62 000
116,Toyota Camry,"2017г.,2.5л.,вариаторседан,гибридрульслева,110000км",https://im.mashina.kg/tachka/images//d/b/5/db566674b2dd3d18db89bcf01ce79889_240x180.jpg,$ 20 000
117,Toyota Camry,"2012г.,2.5л.,вариаторседан,гибридрульслева,117000км",https://im.mashina.kg/tachka/images//f/b/3/fb332cac4410bfaa5e296ea8bcc61fe5_240x180.jpg,$ 14 800
118,Kia Rio,"2020г.,1.6л.,автоматседан,бензинрульслева,44700км",https://im.mashina.kg/tachka/images//1/0/b/10b876e8f828471647abbae8a254b8ed_240x180.jpg,$ 13 850
119,Kia K5 II Седан,"2017г.,2л.,автоматседан,газрульслева,170000км",https://im.mashina.kg/tachka/images//6/5/c/65c41d6305d3704565d51b66ee75670c_240x180.jpg,$ 13 600
120,Toyota Camry,"2015г.,2.5л.,автоматседан,бензинрульслева,146000км",https://im.mashina.kg/tachka/images//4/2/3/42393fa3010e411b898051066f67420b_240x180.jpg,$ 20 800
121,Honda Stepwgn,"2005г.,2л.,автоматминивэн,бензинрульсправа,199000км",https://im.mashina.kg/tachka/images//5/5/f/55f638eb63e475d6cb382b836d44e6fd_240x180.jpg,$ 13 300
122,BYD Yuan,"2019г.,автоматвнедорожник5дв.,электрорульслева,67000км",https://im.mashina.kg/tachka/images//8/5/6/85651798bb91de067bb269645654ff46_240x180.jpg,$ 8 500
123,Subaru Forester,"2009г.,2л.,автоматвнедорожник5дв.,бензинрульслева,68000км",https://im.mashina.kg/tachka/images//6/6/5/6653189b51c7b4b0c15212bdfc977906_240x180.jpg,$ 11 300
124,BMW 5 серии,"2019г.,4.4л.,автоматседан,бензинрульслева,44000км",https://im.mashina.kg/tachka/images//c/6/a/c6adacb502c77484a7f5ffed317bcc99_240x180.jpg,$ 50 000
125,Tank 400,"2023г.,2л.,автоматвнедорожник5дв.,гибридрульслева,1км",https://im.mashina.kg/tachka/images//8/d/6/8d645909a7934082b40c1d52749bf0b4_240x180.jpg,$ 45 000
126,Zeekr 001,"2023г.,автоматлифтбек,электрорульслева,50км",https://im.mashina.kg/tachka/images//4/b/2/4b25fde0a30e0143d0d07ccd9e0a249b_240x180.jpg,$ 56 600
127,BMW X5,"2006г.,3л.,автоматвнедорожник5дв.,дизельрульслева,300000км",https://im.mashina.kg/tachka/images//f/4/3/f43442193d550fe70e5fa9e0388a8ebe_240x180.jpg,$ 13 500
128,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,62500км",https://im.mashina.kg/tachka/images//0/2/c/02cd387f14e857cf9bac2fa765b25516_240x180.jpg,$ 18 900
129,BMW X7,"2022г.,3л.,автоматвнедорожник5дв.,бензинрульслева,23000км",https://im.mashina.kg/tachka/images//9/1/8/918851bd3f2c050bf06b673a60911d70_240x180.jpg,$ 105 000
130,Toyota Camry,"2018г.,2.5л.,вариаторседан,гибридрульслева,90000км",https://im.mashina.kg/tachka/images//5/3/9/539febc1802249e71016d691b8820352_240x180.jpg,$ 27 800
131,BMW 5 серии,"2018г.,2л.,автоматседан,бензинрульслева,119000км",https://im.mashina.kg/tachka/images//4/7/0/47076c0b3a7d7241654378ba9b5c95b8_240x180.jpg,$ 30 000
132,Hyundai Tucson,"2017г.,2л.,автоматвнедорожник5дв.,бензинрульслева,120700км",https://im.mashina.kg/tachka/images//a/2/3/a23eda9142e95ec7eec9d5cb488fbbca_240x180.jpg,$ 14 999
133,Toyota Camry,"2018г.,2.5л.,автоматседан,бензинрульслева,80467км",https://im.mashina.kg/tachka/images//c/1/2/c12a1fcec6c1d1ad2a5b3343f8efb97c_240x180.jpg,$ 24 500
134,Hyundai Santa Fe,"2018г.,2л.,автоматвнедорожник5дв.,дизельрульслева,162000км",https://im.mashina.kg/tachka/images//5/1/0/510adddaabdfd00908a41edd22f6a005_240x180.jpg,$ 22 500
